Time,Ping,Download,Upload,Tries
"14/06/21 5:06:25 AM",37.627,10.3,1.05,1
"14/06/21 5:06:40 AM",41.929,5.26,2.78,5
"14/06/21 5:06:36 AM",37.663,3.77,1.75,1
"14/06/21 6:06:10 AM",0,0,0,5
"14/06/21 6:06:24 AM",33.243,161.94,5.97,1
"14/06/21 6:06:10 AM",0,0,0,5
"14/06/21 6:06:24 AM",32.503,161.5,6.06,1
"14/06/21 7:06:11 AM",0,0,0,5
"14/06/21 7:06:24 AM",40.358,146.63,6.09,1
"14/06/21 7:06:10 AM",0,0,0,5
"14/06/21 7:06:24 AM",41.993,182.72,6.07,1
"14/06/21 8:06:37 AM",32.317,154.83,5.99,5
"14/06/21 8:06:24 AM",37.281,166.79,5.85,1
"14/06/21 8:06:10 AM",0,0,0,5
"14/06/21 8:06:24 AM",28.995,179.06,5.95,1
"14/06/21 9:06:10 AM",0,0,0,5
"14/06/21 9:06:24 AM",27.554,158.88,5.93,1
"14/06/21 9:06:11 AM",0,0,0,5
"14/06/21 9:06:24 AM",28.505,160.9,5.98,1
"14/06/21 10:06:11 AM",0,0,0,5
"14/06/21 10:06:24 AM",27.628,166.36,5.85,1
"14/06/21 10:06:11 AM",0,0,0,5
"14/06/21 10:06:24 AM",34.818,169.69,6.14,1
"14/06/21 11:06:10 AM",0,0,0,5
"14/06/21 11:06:24 AM",32.391,175.43,5.92,1
"14/06/21 11:06:10 AM",0,0,0,5
"14/06/21 11:06:24 AM",33.454,157.87,5.84,1
"14/06/21 12:06:12 PM",0,0,0,5
"14/06/21 12:06:24 PM",29.902,166.39,5.9,1
"14/06/21 12:06:11 PM",0,0,0,5
"14/06/21 12:06:25 PM",28.808,180.43,5.86,1
"14/06/21 1:06:11 PM",0,0,0,5
"14/06/21 1:06:23 PM",37.357,160.43,5.99,1
"14/06/21 1:06:20 PM",81.222,2.78,1.11,4
"14/06/21 1:06:54 PM",86.43,0,0,1
"14/06/21 1:06:41 PM",0,0,0,5
"14/06/21 1:06:51 PM",0,0,0,5
"14/06/21 2:06:38 PM",49.361,134.63,5.66,2
"14/06/21 2:06:24 PM",38.414,156.93,6.1,1
"14/06/21 2:06:12 PM",0,0,0,5
"14/06/21 2:06:24 PM",33.957,115.44,5.93,1
"14/06/21 3:06:12 PM",0,0,0,5
"14/06/21 3:06:24 PM",35.915,137.95,5.94,1
"14/06/21 3:06:12 PM",0,0,0,5
"14/06/21 3:06:26 PM",40.3,95.77,2.41,1
"14/06/21 4:06:44 PM",58.418,62.08,2.41,3
"14/06/21 4:06:28 PM",33.213,39.49,2.76,1
"14/06/21 4:06:11 PM",0,0,0,5
"14/06/21 4:06:24 PM",32.121,153.57,6.14,1
"14/06/21 5:06:38 PM",31.861,38.32,6.04,5
"14/06/21 5:06:24 PM",32.287,109.43,6.08,1
"14/06/21 5:06:11 PM",0,0,0,5
"14/06/21 5:06:30 PM",43.838,55.82,5.28,1
"14/06/21 6:06:12 PM",0,0,0,5
"14/06/21 6:06:24 PM",34.307,93.23,5.91,1
"14/06/21 6:06:11 PM",0,0,0,5
"14/06/21 6:06:24 PM",32.459,38.72,5.95,1
"14/06/21 7:06:10 PM",0,0,0,5
"14/06/21 7:06:24 PM",32.302,75.24,6.01,1
"14/06/21 7:06:12 PM",0,0,0,5
"14/06/21 7:06:24 PM",33.807,116.72,6.01,1
"14/06/21 8:06:11 PM",0,0,0,5
"14/06/21 8:06:24 PM",32.795,130.27,6.01,1
"14/06/21 8:06:37 PM",27.638,106.79,5.86,5
"14/06/21 8:06:23 PM",35.742,144.25,6.19,1
"14/06/21 9:06:12 PM",0,0,0,5
"14/06/21 9:06:24 PM",36.427,100.01,5.96,1
"14/06/21 9:06:11 PM",0,0,0,5
"14/06/21 9:06:23 PM",28.515,127.43,5.94,1
"14/06/21 10:06:11 PM",0,0,0,5
"14/06/21 10:06:24 PM",29.405,151.68,5.91,1
"14/06/21 10:06:11 PM",0,0,0,5
"14/06/21 10:06:24 PM",36.435,158.36,5.89,1
"14/06/21 11:06:11 PM",0,0,0,5
"14/06/21 11:06:24 PM",30.224,132.37,6.04,1
"14/06/21 11:06:10 PM",0,0,0,5
"14/06/21 11:06:24 PM",31.114,88.76,6.03,1
"15/06/21 12:06:12 AM",0,0,0,5
"15/06/21 12:06:24 AM",40.471,51.87,5.97,1
"15/06/21 12:06:13 AM",0,0,0,5
"15/06/21 12:06:24 AM",28.908,155.27,5.85,1
"15/06/21 1:06:11 AM",0,0,0,5
"15/06/21 1:06:24 AM",33.652,124.98,5.96,1
"15/06/21 1:06:11 AM",0,0,0,5
"15/06/21 1:06:24 AM",29.103,165.8,5.89,1
"15/06/21 2:06:14 AM",0,0,0,5
"15/06/21 2:06:23 AM",30.79,169.79,5.98,1
"15/06/21 2:06:09 AM",0,0,0,5
"15/06/21 2:06:24 AM",36.853,185.19,6.09,1
"15/06/21 3:06:10 AM",0,0,0,5
"15/06/21 3:06:23 AM",29.434,152.77,5.99,1
"15/06/21 3:06:11 AM",0,0,0,5
"15/06/21 3:06:23 AM",31.615,171.61,5.93,1
"15/06/21 4:06:09 AM",0,0,0,5
"15/06/21 4:06:24 AM",29.542,169.75,5.94,1
"15/06/21 4:06:08 AM",0,0,0,5
"15/06/21 4:06:23 AM",29.571,166.1,6.05,1
"15/06/21 5:06:12 AM",0,0,0,5
"15/06/21 5:06:23 AM",29.435,176.25,5.98,1
"15/06/21 5:06:11 AM",0,0,0,5
"15/06/21 5:06:24 AM",32.076,167.59,5.97,1
"15/06/21 6:06:09 AM",0,0,0,5
"15/06/21 6:06:24 AM",33.938,153.64,5.97,1
"15/06/21 6:06:10 AM",0,0,0,5
"15/06/21 6:06:23 AM",32.283,165.37,6.03,1
"15/06/21 7:06:11 AM",0,0,0,5
"15/06/21 7:06:24 AM",29.981,161.77,5.99,1
"15/06/21 7:06:10 AM",0,0,0,5
"15/06/21 7:06:24 AM",36.203,174.24,5.19,1
"15/06/21 8:06:13 AM",0,0,0,5
"15/06/21 8:06:24 AM",55.13,132.92,5.85,1
"15/06/21 8:06:12 AM",0,0,0,5
"15/06/21 8:06:23 AM",29.762,149.88,5.93,1
"15/06/21 9:06:13 AM",0,0,0,5
"15/06/21 9:06:24 AM",31.192,166.77,5.84,1
"15/06/21 9:06:11 AM",0,0,0,5
"15/06/21 9:06:24 AM",41.159,153.21,5.97,1
"15/06/21 10:06:10 AM",0,0,0,5
"15/06/21 10:06:24 AM",46.207,129.45,5.99,1
"15/06/21 10:06:10 AM",0,0,0,5
"15/06/21 10:06:24 AM",50.31,138.97,6.15,1
